Date,Price,Open,High,Low,Vol.,Change %
06/02/2023,63400,62400,63800,61900,100,0.0209
06/01/2023,62100,62200,62700,61600,71.77,-0.0016
05/31/2023,62200,62000,63200,61800,128.04,0.0032
05/30/2023,62000,62600,62700,61300,0.6,-0.0016
05/29/2023,62100,62100,62100,62100,,0
05/26/2023,62100,66600,66600,61500,473.83,-0.0662
05/25/2023,66500,64000,70300,61600,546.16,0.0407
05/24/2023,63900,64500,65000,63200,138.22,0.0063
05/23/2023,63500,64000,65300,63400,116.63,-0.0016
05/22/2023,63600,62600,64000,61200,101.38,0.016
05/19/2023,62600,62600,62900,61500,79.79,0.0064
05/18/2023,62200,63900,64100,61800,86.4,-0.0189
05/17/2023,63400,62700,63500,61800,84,0.0063
05/16/2023,63000,63900,64100,61300,121.53,0.0112
05/15/2023,62300,62500,62700,59600,132.91,-0.0064
05/14/2023,62700,62700,62700,62700,,0
05/12/2023,62700,60300,63200,60300,151.07,0.0113
05/11/2023,62000,63800,65600,61000,0.02,-0.0221
05/10/2023,63400,63600,64300,63000,91.69,-0.0031
05/09/2023,63600,65200,67700,61700,258.91,-0.0393
05/08/2023,66200,67200,68400,65800,0.01,-0.0119
05/07/2023,67000,67000,67000,67000,,0
05/04/2023,67000,66800,67600,65600,133.46,-0.0059
05/03/2023,67400,68800,69400,67200,0.01,-0.0203
05/02/2023,68800,67500,70600,67100,261.53,0.0299
05/01/2023,66800,66800,66800,66800,,0
04/28/2023,66800,71100,72000,66400,436.4,-0.0511
04/27/2023,70400,66300,73200,65000,524.85,0.0602
04/26/2023,66400,65900,67300,64900,150.68,0.0076
04/25/2023,65900,67300,68200,64600,231.55,-0.028
04/24/2023,67800,67000,69200,66700,178.34,0.003
04/23/2023,67600,67600,67600,67600,,0
04/21/2023,67600,68200,69500,66700,193,-0.0203
04/20/2023,69000,70100,70400,68600,0.01,-0.0185
04/19/2023,70300,71900,72200,70200,0.19,-0.0223
04/18/2023,71900,73000,73100,70400,348.11,-0.0096
04/17/2023,72600,72300,73500,71100,0.01,0.0041
04/16/2023,72300,72300,72300,72300,,0
04/14/2023,72300,71100,73000,70700,333.8,0.0299
04/13/2023,70200,67200,71400,66300,596.19,0.0174
04/12/2023,69000,77100,77100,69000,1.02,-0.1085
04/11/2023,77400,81100,83100,75000,1.38,-0.0409
04/10/2023,80700,79900,87700,79400,2.58,0.0228
04/09/2023,78900,78900,78900,78900,,0
04/07/2023,78900,75400,82000,74200,2.05,0.0735
04/06/2023,73500,73200,73900,71400,398.91,-0.0134
04/05/2023,74500,73800,75900,72400,1.37,0.0164
04/04/2023,73300,77300,77300,72600,0.2,-0.0505
04/03/2023,77200,78200,79900,74700,753.14,0.0065
04/02/2023,76700,76700,76700,76700,,0
03/31/2023,76700,75400,80400,74500,920.68,0.024
03/30/2023,74900,77900,78500,74400,0.84,-0.0323
03/29/2023,77400,76100,79600,76100,0.1,0.0065
03/28/2023,76900,80600,80900,76100,0.82,-0.0411
03/27/2023,80200,86300,86900,79500,1.31,-0.0771
03/26/2023,86900,86900,86900,86900,,0
03/24/2023,86900,89000,90400,82600,3.16,0
03/23/2023,86900,70300,91300,70100,7.44,0.2361
03/22/2023,70300,71900,72700,69800,522.11,0.0072
03/21/2023,69800,64600,73200,62800,0.31,0.0788
03/20/2023,64700,61000,65900,58800,980.75,-0.0429
03/19/2023,67600,67600,67600,67600,,0
03/17/2023,67600,70500,72000,65700,650.44,-0.0411
03/16/2023,70500,74800,76100,70000,0.8,-0.0447
03/15/2023,73800,76600,77300,71800,0.01,0.0222
03/14/2023,72200,78000,81900,70500,1.86,-0.0177
03/13/2023,73500,67500,73500,67500,11.4,0.0809
03/12/2023,68000,68000,68000,68000,,0
03/10/2023,68000,67700,69600,67700,251.47,-0.0542
03/09/2023,71900,76700,76700,70900,403.6,-0.0806
03/08/2023,78200,73600,86000,71100,4.14,0.0262
03/07/2023,76200,74000,87000,72700,4.42,0.0809
03/06/2023,70500,57000,70500,55000,2.78,0.2983
03/03/2023,54300,51600,54600,51600,261.63,0.0544
03/02/2023,51500,52000,52900,51400,106.08,-0.0096
03/01/2023,52000,52000,52000,52000,,0
02/28/2023,52000,51700,52500,51100,95.65,0.0058
02/27/2023,51700,50800,51800,50000,81.85,0.0117
02/24/2023,51100,52100,52100,50700,82.49,-0.0173
02/23/2023,52000,51800,52100,50200,95.47,0.0078
02/22/2023,51600,52900,53100,51200,187.86,-0.0409
02/21/2023,53800,53000,54500,52500,143.45,0.0151
02/20/2023,53000,53500,53900,52200,131.3,0.0115
02/17/2023,52400,53500,53900,52000,163.71,-0.042
02/16/2023,54700,53400,55500,53400,0.05,0.038
02/15/2023,52700,53700,55300,52500,188.15,-0.0186
02/14/2023,53700,54100,54300,52300,0.05,-0.0019
02/13/2023,53800,53700,55100,52500,121.15,0
02/10/2023,53800,57000,58000,53600,230.22,-0.0511
02/09/2023,56700,54500,57800,54200,263.1,0.0272
02/08/2023,55200,56000,56200,54100,136.34,-0.0018
02/07/2023,55300,53000,57500,52700,341.84,0.0454
02/06/2023,52900,53100,53800,52300,103.12,-0.0038
02/05/2023,53100,53100,53100,53100,,0
02/03/2023,53100,52700,54000,51800,95.2,0.0114
02/02/2023,52500,52300,53000,52100,86.12,0.0234
02/01/2023,51300,50300,52300,50300,100.62,0.0199
01/31/2023,50300,49850,50900,49650,0,-0.002
01/30/2023,50400,50500,51400,50100,71.49,0.008
01/29/2023,50000,50000,50000,50000,,0
01/27/2023,50000,50600,51700,49700,167.14,0.0101
01/26/2023,49500,48500,50300,47750,0.1,0.0248
01/25/2023,48300,47700,48300,47400,50.9,0.0277
01/20/2023,47000,46800,47450,46700,35,-0.0032
01/19/2023,47150,47050,47450,46550,36.72,-0.0074
01/18/2023,47500,47250,47600,46950,44.21,0.0064
01/17/2023,47200,48200,48550,47100,68.26,-0.0115
