Date,Price,Open,High,Low,Vol.,Change %
06/09/2023,670000,688000,700000,665000,1170000,0.0182
06/08/2023,658000,656000,689000,652000,1290000,-0.006
06/07/2023,662000,570000,662000,569000,347180,0.1696
06/06/2023,566000,566000,566000,566000,493170,0
06/05/2023,566000,572000,574000,561000,311910,-0.0018
06/04/2023,567000,567000,567000,567000,50,0
06/02/2023,567000,561000,579000,557000,1800,0.0089
06/01/2023,562000,568000,570000,555000,533230,-0.0018
05/31/2023,563000,546000,570000,546000,466590,0.0311
05/30/2023,546000,547000,550000,526000,409760,0.0074
05/29/2023,542000,542000,542000,542000,726790,0
05/26/2023,542000,549000,559000,531000,827080,-0.0091
05/25/2023,547000,558000,570000,545000,778380,-0.0353
05/24/2023,567000,579000,581000,561000,150,-0.0053
05/23/2023,570000,571000,593000,566000,10,0.0053
05/22/2023,567000,525000,568000,514000,510,0.0658
05/21/2023,532000,532000,532000,532000,966310,0
05/19/2023,532000,562000,564000,531000,190,-0.0584
05/18/2023,565000,581000,586000,559000,1610,-0.0053
05/17/2023,568000,542000,578000,538000,943390,0.0309
05/16/2023,551000,533000,561000,522000,360,0.0576
05/15/2023,521000,536000,539000,499000,460,-0.0423
05/14/2023,544000,544000,544000,544000,320,0
05/12/2023,544000,537000,560000,530000,340,-0.0109
05/11/2023,550000,605000,622000,545000,160,-0.0678
05/10/2023,590000,623000,629000,589000,50,-0.053
05/09/2023,623000,631000,643000,600000,987910,-0.0235
05/08/2023,638000,694000,694000,638000,1650,-0.0659
05/07/2023,683000,683000,683000,683000,1010,0
05/04/2023,683000,668000,703000,650000,790,0.0209
05/03/2023,669000,724000,726000,666000,60,-0.0873
05/02/2023,733000,750000,778000,712000,2190,0.0041
05/01/2023,730000,730000,730000,730000,530,0
04/28/2023,730000,750000,791000,709000,1600,0.0296
04/27/2023,709000,599000,709000,592000,130,0.1836
04/26/2023,599000,604000,618000,588000,1110,0.0034
04/25/2023,597000,608000,618000,580000,220,-0.0017
04/24/2023,598000,566000,621000,564000,2190,0.0418
04/23/2023,574000,574000,574000,574000,160,0
04/21/2023,574000,605000,611000,574000,1340,-0.0575
04/20/2023,609000,604000,623000,603000,823000,-0.0114
04/19/2023,616000,643000,655000,616000,2560,-0.061
04/18/2023,656000,628000,670000,603000,1170,0.0632
04/17/2023,617000,608000,628000,597000,830,0.0098
04/16/2023,611000,611000,611000,611000,60,0
04/14/2023,611000,628000,634000,588000,446790,0.0066
04/13/2023,607000,608000,668000,575000,565170,-0.0516
04/12/2023,640000,732000,757000,638000,704610,-0.1678
04/11/2023,769000,755000,820000,700000,497580,0.0651
04/10/2023,722000,591000,742000,591000,370130,0.247
04/09/2023,579000,579000,579000,579000,625680,0
04/07/2023,579000,525000,579000,511000,30,0.1092
04/06/2023,522000,511000,535000,507000,182300,0.0136
04/05/2023,515000,473000,520000,473000,440,0.0842
04/04/2023,475000,496000,502000,474500,10,-0.049
04/03/2023,499500,508000,518000,491000,334510,0.002
04/02/2023,498500,498500,498500,498500,316780,0
03/31/2023,498500,483000,506000,481000,249750,0
03/30/2023,498500,502000,529000,494500,10,0
03/29/2023,498500,430500,499000,428500,528080,0.1499
03/28/2023,433500,446000,448000,406000,40,-0.0125
03/27/2023,439000,452500,460000,434000,30,-0.0373
03/26/2023,456000,456000,456000,456000,288890,0
03/24/2023,456000,481000,481500,435000,0,0.0022
03/23/2023,455000,451500,495500,406500,286850,0.0044
03/22/2023,453000,434500,459500,430000,413170,0.0786
03/21/2023,420000,402500,429500,391500,50,0.0422
03/20/2023,403000,367000,412500,347500,439730,0.0088
03/19/2023,399500,399500,399500,399500,944800,0
03/17/2023,399500,445000,445500,392500,560820,-0.0879
03/16/2023,438000,462500,469500,428500,381500,-0.0223
03/15/2023,448000,406000,453500,392000,640970,0.2075
03/14/2023,371000,371000,400000,355000,318850,0.0263
03/13/2023,361500,309000,363500,309000,355600,0.1718
03/12/2023,308500,308500,308500,308500,332170,0
03/10/2023,308500,314500,319000,302000,324750,-0.0566
03/09/2023,327000,331000,333500,312500,395670,-0.021
03/08/2023,334000,285000,336000,284500,501600,0.1438
03/07/2023,292000,300500,306000,285500,496030,-0.0565
03/06/2023,309500,314000,318000,300500,746810,0.0334
03/05/2023,299500,299500,299500,299500,548310,0
03/03/2023,299500,284500,299500,278000,953730,0.0891
03/02/2023,275000,287500,308000,273500,378470,-0.0368
03/01/2023,285500,285500,285500,285500,471020,0
02/28/2023,285500,280000,295000,272500,438660,0.0196
