Date,Price,Open,High,Low,Vol.,Change %
06/09/2023,267000,274500,275500,265500,889240,-0.0019
06/08/2023,267500,269500,274000,264000,0,-0.0093
06/07/2023,270000,258000,271000,257000,622560,0.0485
06/06/2023,257500,257500,257500,257500,739740,0
06/05/2023,257500,258000,259000,252500,660830,0.0098
06/04/2023,255000,255000,255000,255000,650,0
06/02/2023,255000,249500,257000,248000,730,0.022
06/01/2023,249500,249500,252000,244500,648830,0.002
05/31/2023,249000,239500,250000,239500,561310,0.0418
05/30/2023,239000,240500,240500,230500,890390,0.0042
05/29/2023,238000,238000,238000,238000,896620,0
05/26/2023,238000,245500,246500,235000,754640,-0.0226
05/25/2023,243500,242500,249500,240500,655570,-0.0102
05/24/2023,246000,248500,250500,243500,410,0.0103
05/23/2023,243500,239500,246500,236500,681330,0.0296
05/22/2023,236500,225500,236500,221000,1830,0.0442
05/21/2023,226500,226500,226500,226500,180,0
05/19/2023,226500,232000,232500,223000,490,-0.0216
05/18/2023,231500,235500,236500,229500,2730,-0.0022
05/17/2023,232000,225000,233000,223000,430,0.0131
05/16/2023,229000,225000,231500,221500,260,0.0246
05/15/2023,223500,226000,227000,212500,240,-0.0176
05/14/2023,227500,227500,227500,227500,1040,0
05/12/2023,227500,218500,233000,217500,2660,0.0248
05/11/2023,222000,235000,238500,218000,1330,-0.041
05/10/2023,231500,238000,241000,229000,740,-0.0232
05/09/2023,237000,239000,243500,227500,110,-0.0207
05/08/2023,242000,252500,252500,242000,1800,-0.032
05/07/2023,250000,250000,250000,250000,1740,0
05/04/2023,250000,246000,254000,244000,3960,0.002
05/03/2023,249500,262000,262000,248500,290,-0.0655
05/02/2023,267000,268500,276500,259500,12510,0
05/01/2023,267000,267000,267000,267000,650,0
04/28/2023,267000,281000,282500,261000,7750,-0.0093
04/27/2023,269500,241500,271000,238500,460,0.1113
04/26/2023,242500,252500,255500,242500,400,-0.0434
04/25/2023,253500,273500,274000,248500,3050,-0.0646
04/24/2023,271000,264000,280000,264000,1310,-0.0055
04/23/2023,272500,272500,272500,272500,1710,0
04/21/2023,272500,294000,297500,272500,140,-0.0731
04/20/2023,294000,289000,300500,289000,20,0
04/19/2023,294000,294000,304500,290000,50,-0.0068
04/18/2023,296000,297000,300000,286500,588380,0.0068
04/17/2023,294000,279000,294500,276000,741310,0.0595
04/16/2023,277500,277500,277500,277500,563130,0
04/14/2023,277500,276500,282000,266000,377870,0.0335
04/13/2023,268500,264500,278000,251500,150,-0.0272
04/12/2023,276000,290000,304000,276000,10,-0.0628
04/11/2023,294500,302000,308500,282000,421490,0.0068
04/10/2023,292500,258500,314500,258500,20,0.1359
04/09/2023,257500,257500,257500,257500,356800,0
04/07/2023,257500,251500,261500,245000,40,0.0404
04/06/2023,247500,233000,247500,230000,481330,0.0532
04/05/2023,235000,224000,237000,221000,10,0.0468
04/04/2023,224500,231000,237500,222000,0,-0.0323
04/03/2023,232000,231000,236500,222000,443850,0.0334
04/02/2023,224500,224500,224500,224500,0,0
03/31/2023,224500,218500,225000,216000,458000,-0.0088
03/30/2023,226500,235500,238500,224000,464450,-0.0279
03/29/2023,233000,223000,235500,221000,310,0.0402
03/28/2023,224000,228000,228000,214000,534410,-0.0088
03/27/2023,226000,233000,238000,224500,880,-0.03
03/26/2023,233000,233000,233000,233000,110,0
03/24/2023,233000,245000,245500,225000,0,-0.0085
03/23/2023,235000,212500,262500,210000,790570,0.1007
03/22/2023,213500,209000,215000,204500,385730,0.044
03/21/2023,204500,203500,208000,197400,385890,0.0025
03/20/2023,204000,184600,204500,181400,415650,0.02
03/19/2023,200000,200000,200000,200000,371980,0
03/17/2023,200000,217000,218000,199200,443520,-0.0741
03/16/2023,216000,223000,228000,211000,465940,0.0093
03/15/2023,214000,204500,214000,201500,40,0.0891
03/14/2023,196500,210000,211500,193300,1020,-0.032
03/13/2023,203000,191200,205000,191200,1670,0.0486
03/12/2023,193600,193600,193600,193600,0,0
03/10/2023,193600,196100,203000,193100,10,-0.0556
03/09/2023,205000,215000,215000,197600,140,-0.0191
03/08/2023,209000,199400,215500,199400,867430,0.017
03/07/2023,205500,208000,216500,201500,360,-0.053
03/06/2023,217000,199800,217000,192500,783110,0.1917
03/05/2023,182100,182100,182100,182100,626290,0
03/03/2023,182100,161600,182600,161400,583670,0.1403
03/02/2023,159700,166600,171200,159300,726020,-0.0397
03/01/2023,166300,166300,166300,166300,615830,0
02/28/2023,166300,168200,169300,163000,572340,-0.003
02/27/2023,166800,158000,169500,156700,400,0.0471
02/26/2023,159300,159300,159300,159300,490,0
02/24/2023,159300,155200,161100,155200,0,0.0264
02/23/2023,155200,163100,163600,151000,728340,-0.033
02/22/2023,160500,159100,167600,153500,962420,-0.0019
02/21/2023,160800,147300,161700,144900,3030,0.0916
02/20/2023,147300,147100,149300,142600,802790,0.0034
02/19/2023,146800,146800,146800,146800,370,0
02/17/2023,146800,144000,149100,140500,350,-0.0047
02/16/2023,147500,144500,148900,141200,923700,0.0454
02/15/2023,141100,142500,149000,139500,955030,0.0043
02/14/2023,140500,141900,141900,134600,0,0.0108
02/13/2023,139000,132600,142500,130400,390,0.0475
02/12/2023,132700,132700,132700,132700,250,0
02/10/2023,132700,135400,139700,128700,1400,0.0153
02/09/2023,130700,121600,131400,120700,956960,0.0713
02/08/2023,122000,123600,124600,119700,20,0.0016
02/07/2023,121800,119500,126300,118800,858470,0.0261
02/06/2023,118700,113600,120400,113100,814630,0.0403
02/05/2023,114100,114100,114100,114100,720840,0
02/03/2023,114100,113600,116200,112000,190,0.0009
02/02/2023,114000,110400,114400,110400,709840,0.044
02/01/2023,109200,100900,109500,100900,767420,0.0942
01/31/2023,99800,100500,101300,99000,985640,-0.0348
01/30/2023,103400,105000,106200,102400,840170,-0.0086
01/29/2023,104300,104300,104300,104300,3810,0
01/27/2023,104300,107200,107300,103900,40,-0.0104
01/26/2023,105400,102700,105500,101400,961430,0.0364
01/25/2023,101700,100600,101800,100400,110,0.0231
01/20/2023,99400,97500,99500,97100,1240,0.0195
01/19/2023,97500,98800,98900,97000,912900,-0.0142
01/18/2023,98900,99700,100400,98200,10,-0.005
01/17/2023,99400,100100,101000,98800,2090,-0.009
01/16/2023,100300,100100,100900,99900,120,0.005
01/15/2023,99800,99800,99800,99800,445860,0
01/13/2023,99800,100900,100900,99500,200,-0.004
01/12/2023,100200,101000,101000,99100,90,0.003
01/11/2023,99900,97800,99900,97300,30,0.0352
01/10/2023,96500,98500,99700,96500,390,-0.0103
01/09/2023,97500,95900,97500,95100,534350,0.0296
01/08/2023,94700,94700,94700,94700,565810,0
01/06/2023,94700,92000,94700,91100,889000,0.0216
01/05/2023,92700,95100,95900,92500,120,-0.017
01/04/2023,94300,91000,94400,90100,10,0.0118
01/03/2023,93200,93400,94300,91600,978770,-0.0021
01/02/2023,93400,92100,96100,92100,390,0.0141
12/29/2022,92100,92000,93300,90900,410,-0.0011
12/28/2022,92200,97100,97100,91500,250,-0.0582
12/27/2022,97900,97800,99100,97200,988500,0.0062
12/26/2022,97300,96600,98000,96000,420,0.0031
12/25/2022,97000,97000,97000,97000,708290,0
12/23/2022,97000,98900,99700,96400,320,-0.0415
12/22/2022,101200,100700,101800,99900,450,0.014
12/21/2022,99800,100200,101300,99300,987700,0.001
12/20/2022,99700,100200,101500,99300,811930,-0.005
12/19/2022,100200,100100,101800,99500,140,-0.0079
12/18/2022,101000,101000,101000,101000,601510,0
12/16/2022,101000,100100,102100,99800,240,-0.0098
12/15/2022,102000,103000,105500,101700,494620,-0.0239
12/14/2022,104500,102200,104900,101500,770910,0.0215
12/13/2022,102300,100900,102300,100100,633840,0.0089
12/12/2022,101400,99500,101600,99100,590,0.004
12/11/2022,101000,101000,101000,101000,30,0
12/09/2022,101000,104500,105000,99100,1400,-0.0242
12/08/2022,103500,104700,105400,103400,0,-0.0143
12/07/2022,105000,103300,105900,103100,40,0.0057
12/06/2022,104400,105100,105800,103700,291140,-0.0216
12/05/2022,106700,110000,110900,106000,367940,-0.0291
12/04/2022,109900,109900,109900,109900,338510,0
12/02/2022,109900,115300,115400,109500,700,-0.0452
12/01/2022,115100,116100,117000,114600,510,0.0114
11/30/2022,113800,109700,113800,107500,1470,0.0299
11/29/2022,110500,108500,110900,108400,678940,0.0091
11/28/2022,109500,113300,113300,108900,907220,-0.0344
11/27/2022,113400,113400,113400,113400,770460,0
11/25/2022,113400,109500,114900,108500,926320,0.0423
11/24/2022,108800,107200,108800,106700,850560,0.0332
11/23/2022,105300,103600,105400,103100,972810,0.0273
11/22/2022,102500,105100,106100,102300,999550,-0.0275
11/21/2022,105400,109300,109300,104800,849800,-0.0357
11/20/2022,109300,109300,109300,109300,804680,0
11/18/2022,109300,110800,111600,109000,433800,-0.0135
11/17/2022,110800,112500,112500,109700,615990,-0.0151
11/16/2022,112500,116800,116800,111100,522990,-0.0352
11/15/2022,116600,117300,118600,115100,397380,0.0078
11/14/2022,115700,112000,117000,112000,967000,0.0461
11/13/2022,110600,110600,110600,110600,629930,0
11/11/2022,110600,111700,112900,109000,371890,0.0346
11/10/2022,106900,107300,109600,106800,536280,-0.0202
11/09/2022,109100,109400,109800,107500,720180,0.0028
11/08/2022,108800,108900,109500,104600,689620,0.0009
11/07/2022,108700,110200,110200,107300,792970,-0.0118
11/06/2022,110000,110000,110000,110000,791500,0
11/04/2022,110000,111000,112700,108700,599080,-0.0143
