Date,Price,Open,High,Low,Vol.,Change %
06/09/2023,69200,70500,70700,69000,208250,0.0044
06/08/2023,68900,68500,69900,67400,270040,0.0073
06/07/2023,68400,66400,69300,66200,311340,0.0364
06/06/2023,66000,66000,66000,66000,196820,0
06/05/2023,66000,64100,66200,63600,100000,0.041
06/04/2023,63400,63400,63400,63400,71770,0
06/02/2023,63400,62400,63800,61900,128040,0.0209
06/01/2023,62100,62200,62700,61600,600,-0.0016
05/31/2023,62200,62000,63200,61800,473830,0.0032
05/30/2023,62000,62600,62700,61300,546160,-0.0016
05/29/2023,62100,62100,62100,62100,138220,0
05/26/2023,62100,66600,66600,61500,116630,-0.0662
05/25/2023,66500,64000,70300,61600,101380,0.0407
05/24/2023,63900,64500,65000,63200,79790,0.0063
05/23/2023,63500,64000,65300,63400,86400,-0.0016
05/22/2023,63600,62600,64000,61200,84000,0.016
05/19/2023,62600,62600,62900,61500,121530,0.0064
05/18/2023,62200,63900,64100,61800,132910,-0.0189
05/17/2023,63400,62700,63500,61800,151070,0.0063
05/16/2023,63000,63900,64100,61300,20,0.0112
05/15/2023,62300,62500,62700,59600,91690,-0.0064
05/14/2023,62700,62700,62700,62700,258910,0
05/12/2023,62700,60300,63200,60300,10,0.0113
05/11/2023,62000,63800,65600,61000,133460,-0.0221
05/10/2023,63400,63600,64300,63000,10,-0.0031
05/09/2023,63600,65200,67700,61700,261530,-0.0393
05/08/2023,66200,67200,68400,65800,436400,-0.0119
05/07/2023,67000,67000,67000,67000,524850,0
05/04/2023,67000,66800,67600,65600,150680,-0.0059
05/03/2023,67400,68800,69400,67200,231550,-0.0203
05/02/2023,68800,67500,70600,67100,178340,0.0299
05/01/2023,66800,66800,66800,66800,193000,0
04/28/2023,66800,71100,72000,66400,10,-0.0511
04/27/2023,70400,66300,73200,65000,190,0.0602
04/26/2023,66400,65900,67300,64900,348110,0.0076
04/25/2023,65900,67300,68200,64600,10,-0.028
04/24/2023,67800,67000,69200,66700,333800,0.003
04/23/2023,67600,67600,67600,67600,596190,0
04/21/2023,67600,68200,69500,66700,251470,-0.0203
04/20/2023,69000,70100,70400,68600,403600,-0.0185
04/19/2023,70300,71900,72200,70200,103120,-0.0223
04/18/2023,71900,73000,73100,70400,95200,-0.0096
04/17/2023,72600,72300,73500,71100,86120,0.0041
04/16/2023,72300,72300,72300,72300,100620,0
04/14/2023,72300,71100,73000,70700,0,0.0299
04/13/2023,70200,67200,71400,66300,71490,0.0174
04/12/2023,69000,77100,77100,69000,167140,-0.1085
04/11/2023,77400,81100,83100,75000,100,-0.0409
04/10/2023,80700,79900,87700,79400,50900,0.0228
04/09/2023,78900,78900,78900,78900,35000,0
04/07/2023,78900,75400,82000,74200,36720,0.0735
04/06/2023,73500,73200,73900,71400,44210,-0.0134
04/05/2023,74500,73800,75900,72400,68260,0.0164
04/04/2023,73300,77300,77300,72600,54690,-0.0505
04/03/2023,77200,78200,79900,74700,53190,0.0065
04/02/2023,76700,76700,76700,76700,61440,0
03/31/2023,76700,75400,80400,74500,96830,0.024
03/30/2023,74900,77900,78500,74400,63750,-0.0323
03/29/2023,77400,76100,79600,76100,66730,0.0065
03/28/2023,76900,80600,80900,76100,62250,-0.0411
03/27/2023,80200,86300,86900,79500,0,-0.0771
03/26/2023,86900,86900,86900,86900,67790,0
03/24/2023,86900,89000,90400,82600,125260,0
03/23/2023,86900,70300,91300,70100,77220,0.2361
03/22/2023,70300,71900,72700,69800,268250,0.0072
03/21/2023,69800,64600,73200,62800,104050,0.0788
03/20/2023,64700,61000,65900,58800,77890,-0.0429
03/19/2023,67600,67600,67600,67600,68220,0
03/17/2023,67600,70500,72000,65700,65560,-0.0411
03/16/2023,70500,74800,76100,70000,30,-0.0447
03/15/2023,73800,76600,77300,71800,40860,0.0222
03/14/2023,72200,78000,81900,70500,55770,-0.0177
03/13/2023,73500,67500,73500,67500,27710,0.0809
03/12/2023,68000,68000,68000,68000,43270,0
03/10/2023,68000,67700,69600,67700,36830,-0.0542
03/09/2023,71900,76700,76700,70900,40,-0.0806
03/08/2023,78200,73600,86000,71100,43320,0.0262
03/07/2023,76200,74000,87000,72700,39660,0.0809
03/06/2023,70500,57000,70500,55000,68640,0.2983
03/03/2023,54300,51600,54600,51600,61170,0.0544
03/02/2023,51500,52000,52900,51400,10,-0.0096
03/01/2023,52000,52000,52000,52000,49050,0
02/28/2023,52000,51700,52500,51100,67710,0.0058
02/27/2023,51700,50800,51800,50000,102890,0.0117
02/24/2023,51100,52100,52100,50700,165920,-0.0173
02/23/2023,52000,51800,52100,50200,50270,0.0078
02/22/2023,51600,52900,53100,51200,53750,-0.0409
02/21/2023,53800,53000,54500,52500,107600,0.0151
02/20/2023,53000,53500,53900,52200,75490,0.0115
02/17/2023,52400,53500,53900,52000,10,-0.042
02/16/2023,54700,53400,55500,53400,71080,0.038
02/15/2023,52700,53700,55300,52500,97930,-0.0186
02/14/2023,53700,54100,54300,52300,125090,-0.0019
02/13/2023,53800,53700,55100,52500,116080,0
02/10/2023,53800,57000,58000,53600,84610,-0.0511
02/09/2023,56700,54500,57800,54200,153080,0.0272
02/08/2023,55200,56000,56200,54100,224960,-0.0018
02/07/2023,55300,53000,57500,52700,40,0.0454
02/06/2023,52900,53100,53800,52300,364570,-0.0038
02/05/2023,53100,53100,53100,53100,104440,0
02/03/2023,53100,52700,54000,51800,65840,0.0114
02/02/2023,52500,52300,53000,52100,63630,0.0234
02/01/2023,51300,50300,52300,50300,152910,0.0199
01/31/2023,50300,49850,50900,49650,89470,-0.002
01/30/2023,50400,50500,51400,50100,0,0.008
01/29/2023,50000,50000,50000,50000,110440,0
01/27/2023,50000,50600,51700,49700,55770,0.0101
01/26/2023,49500,48500,50300,47750,48940,0.0248
01/25/2023,48300,47700,48300,47400,60300,0.0277
01/20/2023,47000,46800,47450,46700,96680,-0.0032
01/19/2023,47150,47050,47450,46550,60780,-0.0074
01/18/2023,47500,47250,47600,46950,75300,0.0064
01/17/2023,47200,48200,48550,47100,63060,-0.0115
01/16/2023,47750,47350,48500,47250,63740,0.017
01/13/2023,46950,47750,48000,46550,99220,-0.0053
01/12/2023,47200,47550,47550,46600,161540,0.0021
01/11/2023,47100,44900,47200,44900,189490,0.0549
01/10/2023,44650,45650,46150,44450,76290,-0.0208
01/09/2023,45600,44450,45750,44450,81560,0.0411
01/06/2023,43800,42400,44000,42350,98510,0.0127
01/05/2023,43250,43850,44400,42850,74920,-0.0126
01/04/2023,43800,42650,44000,42650,96610,0.0081
01/03/2023,43450,45000,45350,42750,70490,-0.0344
01/02/2023,45000,45950,46450,45000,0,-0.0077
12/29/2022,45350,49300,49300,44750,90190,-0.0792
12/28/2022,49250,51200,51200,49100,75380,-0.0474
12/27/2022,51700,50300,51800,50300,96170,0.0299
12/26/2022,50200,50100,50300,49100,101460,0.004
12/23/2022,50000,50500,51100,49900,157030,-0.0347
12/22/2022,51800,50500,51900,50400,123550,0.036
12/21/2022,50000,50300,50700,49850,182340,0
12/20/2022,50000,50700,50900,49850,195060,-0.0157
12/19/2022,50800,50100,51100,50100,140,0.0059
12/16/2022,50500,50500,50800,50100,40,-0.0175
12/15/2022,51400,51800,52700,51200,149940,-0.0172
12/14/2022,52300,51000,52400,50900,542880,0.0336
12/13/2022,50600,51400,51500,50500,781140,-0.0059
12/12/2022,50900,51000,51400,50600,10,-0.0097
12/11/2022,51400,51400,51400,51400,291650,0
12/09/2022,51400,51400,52200,50500,225510,0.0059
12/08/2022,51100,51100,52100,51100,183850,-0.0097
12/07/2022,51600,51300,52200,50800,174940,0.0019
12/06/2022,51500,51500,52000,51200,290,-0.0153
12/05/2022,52300,52800,53100,51700,100410,-0.0076
12/04/2022,52700,52700,52700,52700,202260,0
12/02/2022,52700,55400,55400,52000,20,-0.0401
12/01/2022,54900,54000,56800,53900,20,0.0358
11/30/2022,53000,52500,53300,51500,20,0.0095
11/29/2022,52500,51000,53000,51000,100,0.0155
11/28/2022,51700,53700,53700,51600,240240,-0.039
11/27/2022,53800,53800,53800,53800,132700,0
11/25/2022,53800,54700,55300,53800,10,-0.0182
11/24/2022,54800,54400,55000,54000,144200,0.0129
11/23/2022,54100,52800,54100,52500,0,0.0364
11/22/2022,52200,52800,54100,52100,155720,-0.0315
11/21/2022,53900,56700,56700,53400,221780,-0.0392
11/18/2022,56100,55800,57300,55400,110,0.0145
11/17/2022,55300,56300,56500,55200,185480,-0.023
11/16/2022,56600,58900,58900,56200,240250,-0.0407
11/15/2022,59000,57800,59000,56600,200,0.0406
11/14/2022,56700,57200,59200,56400,414590,0.0089
11/13/2022,56200,56200,56200,56200,687300,0
11/11/2022,56200,52100,56800,51600,0,0.1251
11/10/2022,49950,50700,51500,49900,900610,-0.0225
11/09/2022,51100,51300,51800,50800,319410,0
11/08/2022,51100,50700,51300,50200,704680,0.0039
11/07/2022,50900,49650,51400,49000,974110,0.0262
11/04/2022,49600,50000,51000,49000,231410,-0.01
11/03/2022,50100,49200,50600,48900,581210,-0.002
11/02/2022,50200,51900,52100,49700,47480,-0.0309
11/01/2022,51800,51500,52600,51300,59160,0.0019
10/31/2022,51700,52000,52000,50800,36450,0.0098
10/28/2022,51200,51500,52200,51000,43920,-0.0135
10/27/2022,51900,51600,52000,50900,98030,0.0078
10/26/2022,51500,52200,52600,51100,45960,-0.0134
10/25/2022,52200,53300,54200,51400,83110,-0.0206
10/24/2022,53300,54100,54200,52900,92820,0.0133
10/21/2022,52600,53100,54100,52200,60,-0.0094
10/20/2022,53100,54100,54900,53000,74270,-0.0221
10/19/2022,54300,55100,55900,53800,204100,-0.0073
10/18/2022,54700,53100,54700,52000,47350,0.0479
10/17/2022,52200,50600,52400,50100,0,0.0215
10/14/2022,51100,51100,51600,50600,38890,0.0251
10/13/2022,49850,51300,51300,49500,36820,-0.0358
10/12/2022,51700,51800,51800,49950,30730,0.0319
10/11/2022,50100,51000,51700,49950,50290,-0.0493
10/10/2022,52700,52700,52700,52700,0,0
10/07/2022,52700,52500,53900,52300,10,-0.015
10/06/2022,53500,51400,53800,51300,119080,0.0429
10/05/2022,51300,53700,54200,50700,89170,-0.0247
10/04/2022,52600,52000,52800,51600,71980,0.0354
09/30/2022,50800,49700,51500,49200,73810,0.004
09/29/2022,50600,51500,53000,50500,10,0.008
09/28/2022,50200,53600,53600,48250,107800,-0.0634
09/27/2022,53600,51100,53600,51100,20,0.0347
09/26/2022,51800,53000,54100,51100,10,-0.0547
09/23/2022,54800,57500,57500,54500,80400,-0.0519
09/22/2022,57800,57600,58100,56300,100,-0.0052
09/21/2022,58100,54000,59900,54000,65640,0.0583
09/20/2022,54900,54900,56000,54500,63970,0.0186
09/19/2022,53900,62000,62100,53600,85620,-0.1236
09/18/2022,61500,61500,61500,61500,105270,0
09/16/2022,61500,58900,64300,58100,139450,0.0441
09/15/2022,58900,60000,60400,58700,57700,-0.0017
09/14/2022,59000,55700,59400,55600,420,0.0225
09/13/2022,57700,55600,58100,55600,34780,0.0548
09/08/2022,54700,53800,55200,53500,59530,0.0282
09/07/2022,53200,53700,55200,52100,59650,-0.0075
09/06/2022,53600,52900,54700,52900,37350,0.0152
09/05/2022,52800,53700,54000,51500,63380,-0.0094
09/04/2022,53300,53300,53300,53300,62660,0
09/02/2022,53300,50800,54200,50800,101900,0.0513
09/01/2022,50700,53000,53000,50500,197670,-0.0523
08/31/2022,53500,52600,54100,52100,61150,0.0075
08/30/2022,53100,52700,53800,52700,51190,0.0114
08/29/2022,52500,51400,52900,51400,40,-0.0278
08/28/2022,54000,54000,54000,54000,123190,0
08/26/2022,54000,56900,57400,53800,130,-0.0476
08/25/2022,56700,56900,57400,56100,0,-0.0053
08/24/2022,57000,56000,57300,54900,46960,0.0307
08/23/2022,55300,56000,56200,55000,20,-0.0212
08/22/2022,56500,56700,58000,56200,58050,-0.0225
08/21/2022,57800,57800,57800,57800,10,0
08/19/2022,57800,60300,61000,57800,77640,-0.0367
08/18/2022,60000,60800,60800,58400,121890,-0.0212
08/17/2022,61300,61400,62800,60600,92930,0.0033
08/16/2022,61100,61100,62000,60800,122160,0.0116
08/15/2022,60400,60400,60400,60400,87810,0
08/12/2022,60400,61000,61600,59200,122450,-0.0033
08/11/2022,60600,62400,62800,59900,20,-0.0226
08/10/2022,62000,62100,64400,59700,80400,-0.0016
08/09/2022,62100,62900,66600,61600,66220,0.0081
08/08/2022,61600,57000,63300,55900,103610,0.118
08/07/2022,55100,55100,55100,55100,20,0
08/05/2022,55100,52500,57700,51900,104540,0.0556
08/04/2022,52200,53400,54000,52000,118600,-0.0169
08/03/2022,53100,52200,54300,49550,10,0.0331
08/02/2022,51400,46800,53500,46000,10,0.109
08/01/2022,46350,45650,46900,45350,68160,0.0266
07/29/2022,45150,41450,46200,41000,20,0.1026
07/28/2022,40950,41100,41750,40800,92150,-0.0024
07/27/2022,41050,39950,41300,39850,240,0.0224
07/26/2022,40150,39800,40500,39600,30,-0.0025
07/25/2022,40250,40200,40600,39700,250,0.0012
07/22/2022,40200,40550,41950,40050,10,-0.0074
07/21/2022,40500,40500,41000,40000,200260,0
07/20/2022,40500,41350,41700,40050,265160,0.0025
07/19/2022,40400,39300,41050,38800,159370,0.0241
07/18/2022,39450,39350,39500,39050,70,0.0341
07/15/2022,38150,38150,38900,37150,243980,-0.0039
07/14/2022,38300,39250,40000,38100,77610,0.0159
07/13/2022,37700,36100,37700,35850,130,0.0429
07/12/2022,36150,36650,37150,36100,83190,-0.0321
07/11/2022,37350,37850,38700,37050,78920,-0.0106
07/10/2022,37750,37750,37750,37750,98170,0
07/08/2022,37750,38000,38750,37600,92810,0.0067
07/07/2022,37500,37000,37600,36850,77070,0.0163
07/06/2022,36900,37100,38400,36850,106850,-0.034
07/05/2022,38200,36200,38350,36200,87370,0.0611
07/04/2022,36000,36700,37150,35550,141550,-0.0191
07/01/2022,36700,39200,39500,36550,125560,-0.0492
06/30/2022,38600,39050,39650,37750,170,-0.0026
06/29/2022,38700,37900,40000,37600,70220,-0.0102
06/28/2022,39100,38250,39700,38250,20,0.009
06/27/2022,38750,38400,40200,38350,250,0.0184
06/26/2022,38050,38050,38050,38050,79260,0
06/24/2022,38050,35000,38400,35000,153250,0.0856
06/23/2022,35050,36850,37550,35050,127790,-0.0488
06/22/2022,36850,39350,39950,36850,0,-0.0599
06/21/2022,39200,38850,39700,37750,172590,-0.0025
06/20/2022,39300,40750,40800,39050,0,-0.0368
06/17/2022,40800,39550,40800,39150,604310,0.0025
06/16/2022,40700,40750,41550,40450,155660,0.0188
06/15/2022,39950,41000,41700,39700,237300,-0.0256
06/14/2022,41000,40200,41300,39850,140750,-0.012
06/13/2022,41500,43950,43950,41500,30,-0.0695
06/12/2022,44600,44600,44600,44600,20,0
06/10/2022,44600,44550,45000,44050,85240,0.0011
06/09/2022,44550,44700,45350,44050,141170,-0.0078
06/08/2022,44900,45550,46000,44900,264790,-0.0066
06/07/2022,45200,46500,46500,45200,40,-0.029
06/03/2022,46550,47150,47450,46400,162370,-0.0075
06/02/2022,46900,46950,47500,46600,10,0
05/31/2022,46900,47200,47450,46500,194290,-0.0053
05/30/2022,47150,47300,47650,46500,20,0.0096
05/29/2022,46700,46700,46700,46700,232750,0
05/27/2022,46700,48250,48250,46200,172080,-0.0032
05/26/2022,46850,44900,47350,44550,220,0.0588
05/25/2022,44250,44400,45450,43500,161660,-0.0011
05/24/2022,44300,45950,45950,44100,340,-0.0306
05/23/2022,45700,44900,46400,44850,880780,0.019
05/20/2022,44850,43100,45350,43100,200,0.0455
05/19/2022,42900,42500,43400,42500,340,-0.0305
05/18/2022,44250,44400,45200,43750,180500,0.0068
05/17/2022,43950,43600,44300,43550,276120,-0.0011
05/16/2022,44000,43900,45300,43900,77560,0.0034
05/13/2022,43850,42850,43950,42850,20,0.0281
05/12/2022,42650,44350,44700,42600,10,-0.0657
05/11/2022,45650,43500,45650,43100,20,0.0399
05/10/2022,43900,42650,44800,42050,0,-0.0146
05/09/2022,44550,45000,46150,44150,180000,-0.0357
05/06/2022,46200,47100,47300,46000,0,-0.0365
05/05/2022,47950,47950,47950,47950,166390,0
05/04/2022,47950,48100,49300,47850,150,-0.0052
